"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.376819860E2,6.518643366E1,2.532140390E1,-4.070941125E0,1.279999971E0,2.025000000E2,3.790092468E0,3.297128916E0
1.386819762E2,6.518642333E1,2.532139467E1,-3.973464772E0,1.210000038E0,1.998000031E2,3.790092468E0,3.593352795E0
1.396819729E2,6.518641285E1,2.532138336E1,-3.897045926E0,1.200000048E0,2.000000000E2,3.790092468E0,3.866805792E0
1.406815723E2,6.518640133E1,2.532137306E1,-3.834908560E0,1.220000029E0,2.001000061E2,3.906635523E0,4.124095917E0
1.416819918E2,6.518638957E1,2.532135830E1,-3.534002516E0,1.320000052E0,2.016999969E2,3.790092468E0,3.175125122E0
1.426820828E2,6.518637851E1,2.532134549E1,-3.472110072E0,1.299999952E0,2.001000061E2,3.790092468E0,2.950554609E0
1.436817588E2,6.518636665E1,2.532133165E1,-3.771972819E0,1.409999967E0,2.030000000E2,3.790092468E0,2.500000000E0
1.446817992E2,6.518635643E1,2.532131975E1,-3.761411167E0,1.240000010E0,1.991999969E2,3.790092468E0,2.500000000E0
1.456821709E2,6.518634651E1,2.532130771E1,-3.739619228E0,1.220000029E0,2.035000000E2,3.790092468E0,2.500000000E0
1.466814442E2,6.518633571E1,2.532129525E1,-3.848198029E0,1.330000043E0,2.048000031E2,3.790092468E0,2.500000000E0
1.476820421E2,6.518632449E1,2.532128390E1,-3.773426766E0,1.299999952E0,2.028999939E2,3.790092468E0,2.500000000E0
1.486821429E2,6.518631300E1,2.532127410E1,-3.951218502E0,1.289999962E0,1.996000061E2,3.790092468E0,2.500000000E0
1.496813868E2,6.518630076E1,2.532126161E1,-4.054242381E0,1.320000052E0,2.013000031E2,3.790092468E0,2.500000000E0
1.506813609E2,6.518628892E1,2.532125282E1,-4.092629423E0,1.299999952E0,1.978000031E2,3.790092468E0,2.500000000E0
1.516823060E2,6.518627732E1,2.532124256E1,-4.146214661E0,1.320000052E0,2.013000031E2,3.790092468E0,2.500000000E0
1.526823113E2,6.518626651E1,2.532123105E1,-4.112825474E0,1.289999962E0,2.023999939E2,3.790092468E0,2.500000000E0
1.536814070E2,6.518625538E1,2.532122000E1,-3.997343740E0,1.309999943E0,2.028999939E2,3.790092468E0,2.500000000E0
1.546817688E2,6.518624390E1,2.532121024E1,-3.740259984E0,1.279999971E0,1.988000031E2,3.790092468E0,2.500000000E0
1.556821256E2,6.518623213E1,2.532120060E1,-3.441428007E0,1.320000052E0,1.973000031E2,3.790092468E0,2.500000000E0
1.566818581E2,6.518621988E1,2.532119033E1,-3.434099831E0,1.330000043E0,1.981999969E2,3.790092468E0,2.500000000E0
1.576822507E2,6.518620871E1,2.532118194E1,-3.546950014E0,1.230000019E0,1.983000031E2,3.790092468E0,2.500000000E0
1.586821244E2,6.518619823E1,2.532117434E1,-3.631113849E0,1.179999948E0,1.971000061E2,3.790092468E0,2.500000000E0
1.596817844E2,6.518618829E1,2.532116529E1,-3.557990678E0,1.139999986E0,1.998999939E2,3.790092468E0,2.500000000E0
1.606821383E2,6.518617747E1,2.532115635E1,-3.509586274E0,1.250000000E0,1.983000031E2,3.790092468E0,2.500000000E0
1.616822996E2,6.518616615E1,2.532114940E1,-3.552489776E0,1.289999962E0,1.951999969E2,3.790092468E0,2.500000000E0
1.626821756E2,6.518615449E1,2.532114324E1,-3.585200062E0,1.230000019E0,1.951000061E2,3.790092468E0,2.500000000E0
1.636822861E2,6.518614302E1,2.532113477E1,-3.641287414E0,1.240000010E0,1.978000031E2,3.790092468E0,2.500000000E0
1.646816389E2,6.518613238E1,2.532112676E1,-3.696703699E0,1.230000019E0,1.981000061E2,3.790092468E0,2.500000000E0
1.656820552E2,6.518612120E1,2.532111782E1,-3.739729777E0,1.299999952E0,1.981000061E2,3.790092468E0,2.500000000E0
1.666815655E2,6.518610988E1,2.532110956E1,-3.991190693E0,1.309999943E0,2.008000031E2,3.790092468E0,2.500000000E0
1.676813547E2,6.518609996E1,2.532110410E1,-4.040564304E0,1.169999957E0,1.948999939E2,3.790092468E0,2.500000000E0
1.686817747E2,6.518608957E1,2.532109922E1,-4.136202199E0,1.230000019E0,1.946000061E2,3.790092468E0,2.500000000E0
1.696821235E2,6.518607794E1,2.532109255E1,-4.173429212E0,1.269999981E0,1.940000000E2,3.790092468E0,2.500000000E0
1.706820457E2,6.518606705E1,2.532108546E1,-4.190942336E0,1.210000038E0,1.955000000E2,3.790092468E0,2.500000000E0
1.716821374E2,6.518605557E1,2.532107885E1,-4.231770486E0,1.230000019E0,1.946999969E2,3.790092468E0,2.500000000E0
1.726816113E2,6.518604432E1,2.532107206E1,-4.156265784E0,1.200000048E0,1.945000000E2,3.790092468E0,2.500000000E0
1.736820157E2,6.518603247E1,2.532106492E1,-4.212047476E0,1.289999962E0,1.941999969E2,3.790092468E0,2.500000000E0
1.746822997E2,6.518602060E1,2.532105629E1,-4.016486709E0,1.279999971E0,1.951999969E2,3.790092468E0,2.500000000E0
1.756814861E2,6.518600945E1,2.532104881E1,-4.468631134E0,1.169999957E0,1.920000000E2,3.790092468E0,2.500000000E0
1.766816426E2,6.518599848E1,2.532104008E1,-4.492919477E0,1.210000038E0,1.933000031E2,3.790092468E0,2.500000000E0
1.776821145E2,6.518598760E1,2.532103152E1,-4.286433903E0,1.230000019E0,1.936000061E2,3.790092468E0,2.500000000E0
1.786816302E2,6.518597698E1,2.532102281E1,-3.959892341E0,1.210000038E0,1.931000061E2,3.790092468E0,2.500000000E0
1.796820356E2,6.518596525E1,2.532101679E1,-3.940966817E0,1.269999981E0,1.893999939E2,3.790092468E0,2.500000000E0
1.806820469E2,6.518595360E1,2.532101125E1,-4.117842009E0,1.240000010E0,1.903999939E2,3.790092468E0,2.500000000E0
1.816815032E2,6.518594201E1,2.532100421E1,-3.888711700E0,1.230000019E0,1.930000000E2,3.790092468E0,2.500000000E0
1.826819565E2,6.518593093E1,2.532099916E1,-3.648716956E0,1.269999981E0,1.896999969E2,3.790092468E0,2.500000000E0
1.836815536E2,6.518592043E1,2.532099088E1,-3.503632880E0,1.210000038E0,1.871000061E2,3.790092468E0,2.500000000E0
1.846821213E2,6.518590850E1,2.532098284E1,-3.392056328E0,1.240000010E0,1.868000031E2,3.790092468E0,2.500000000E0
1.856823307E2,6.518589697E1,2.532097817E1,-3.372886468E0,1.200000048E0,1.866000061E2,3.790092468E0,2.500000000E0
1.866814918E2,6.518588565E1,2.532097215E1,-3.409686248E0,1.230000019E0,1.920000000E2,3.790092468E0,2.500000000E0
1.876817352E2,6.518587424E1,2.532096813E1,-3.442762401E0,1.259999990E0,1.911999969E2,3.790092468E0,2.500000000E0
1.886823089E2,6.518586295E1,2.532096311E1,-3.589364224E0,1.279999971E0,1.888000031E2,3.790092468E0,2.500000000E0
1.896817837E2,6.518585080E1,2.532095849E1,-3.770206246E0,1.340000033E0,1.888999939E2,3.790092468E0,2.500000000E0
1.906818279E2,6.518583934E1,2.532095516E1,-3.844908199E0,1.269999981E0,1.886999969E2,3.790092468E0,2.500000000E0
1.916822359E2,6.518582809E1,2.532095403E1,-3.975334876E0,1.250000000E0,1.883999939E2,3.790092468E0,2.500000000E0
1.926817253E2,6.518581737E1,2.532095335E1,-4.141101079E0,1.269999981E0,1.873000031E2,3.790092468E0,2.500000000E0
1.936821158E2,6.518580655E1,2.532095297E1,-4.264874978E0,1.279999971E0,1.838999939E2,3.790092468E0,2.500000000E0
1.946817816E2,6.518579477E1,2.532095140E1,-4.378333709E0,1.279999971E0,1.841999969E2,3.790092468E0,2.500000000E0
1.956820862E2,6.518578274E1,2.532094786E1,-4.500215595E0,1.269999981E0,1.883000031E2,3.790092468E0,2.500000000E0
1.966823009E2,6.518577046E1,2.532094401E1,-4.305202891E0,1.250000000E0,1.853000031E2,3.790092468E0,2.500000000E0
1.976813510E2,6.518575792E1,2.532094148E1,-4.294027657E0,1.299999952E0,1.853000031E2,3.790092468E0,2.500000000E0
1.986813405E2,6.518574577E1,2.532093792E1,-4.165848451E0,1.289999962E0,1.845000000E2,3.790092468E0,2.500000000E0
1.996815267E2,6.518573402E1,2.532093569E1,-4.262644744E0,1.269999981E0,1.793999939E2,3.790092468E0,2.500000000E0
2.006817785E2,6.518572254E1,2.532093315E1,-4.463017901E0,1.259999990E0,1.836000061E2,3.790092468E0,2.500000000E0
2.016821260E2,6.518571146E1,2.532093026E1,-4.494751200E0,1.240000010E0,1.851000061E2,3.790092468E0,2.500000000E0
2.026816053E2,6.518570065E1,2.532092732E1,-4.564387479E0,1.259999990E0,1.861999969E2,9.935046196E0,2.500000000E0
2.036816939E2,6.518568938E1,2.532092624E1,-4.452443529E0,1.289999962E0,1.833000031E2,9.935046196E0,2.500000000E0
2.046821340E2,6.518567813E1,2.532092505E1,-4.706832621E0,1.289999962E0,1.841999969E2,9.935046196E0,2.500000000E0
2.056815591E2,6.518566776E1,2.532092486E1,-4.821634538E0,1.210000038E0,1.801999969E2,9.935046196E0,2.500000000E0
2.066815079E2,6.518565722E1,2.532092358E1,-4.846287681E0,1.220000029E0,1.846999969E2,9.935046196E0,2.500000000E0
2.076815131E2,6.518564675E1,2.532092165E1,-4.860381919E0,1.220000029E0,1.838999939E2,9.935046196E0,2.500000000E0
2.086814896E2,6.518563594E1,2.532092288E1,-4.968286331E0,1.230000019E0,1.758000031E2,9.935046196E0,2.500000000E0
2.096822999E2,6.518562481E1,2.532092463E1,-5.017108436E0,1.240000010E0,1.793999939E2,9.935046196E0,2.500000000E0
2.106817820E2,6.518561330E1,2.532092706E1,-4.634411646E0,1.230000019E0,1.770000000E2,9.935046196E0,2.500000000E0
2.116821305E2,6.518560124E1,2.532092698E1,-4.506536902E0,1.230000019E0,1.773999939E2,9.935046196E0,2.500000000E0
2.126821361E2,6.518559042E1,2.532092620E1,-4.339112157E0,1.259999990E0,1.798999939E2,9.935046196E0,2.500000000E0
2.136820485E2,6.518557879E1,2.532092713E1,-4.553339461E0,1.279999971E0,1.773000031E2,9.935046196E0,2.500000000E0
2.146815619E2,6.518556828E1,2.532092686E1,-4.976307829E0,1.159999967E0,1.798999939E2,9.935046196E0,2.500000000E0
2.156818654E2,6.518555759E1,2.532092969E1,-4.981184609E0,1.220000029E0,1.761999969E2,9.935046196E0,2.500000000E0
2.166820692E2,6.518554603E1,2.532093259E1,-4.863502340E0,1.269999981E0,1.776000061E2,9.935046196E0,2.500000000E0
